scorer,,,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,,,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,,,Client_Mouth,Client_Mouth,Client_Spine_head,Client_Spine_head,Client_Spine_mid,Client_Spine_mid,Client_Body_top1,Client_Body_top1,Client_Body_top2,Client_Body_top2,Client_Body_bot1,Client_Body_bot1,Client_Body_bot2,Client_Body_bot2,Client_Tail,Client_Tail,Client_Tail_Top,Client_Tail_Top,Client_Tail_Bot,Client_Tail_Bot,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,LD23AL60_03_re-encode,img07972.png,923.7924140419034,843.9476511022583,837.0736856356942,812.2806997179684,712.3546155683371,802.5370223689562,867.7662692850829,731.8953615886172,685.0723189911027,709.4849036858891,869.2278208874347,885.3582798355606,703.0981220867754,873.6658670167458,580.8149713566714,788.895874080339,518.4554363229929,746.5108776121356,539.4043426233693,815.6909867901228,856.5610403337188,830.3065028136411,850.7148339243114,868.7940283422397,822.9453534796264,905.8200022684863,768.3807603251577,920.4355182920046
labeled-data,LD23AL60_03_re-encode,img09679.png,742.8633009896696,839.8851889757941,714.6048150942883,817.061027291063,617.8738441447136,795.867162869527,720.5825717260035,748.0451098158048,610.8092226708684,702.3967864463426,723.2997338313287,876.2951611871508,612.9829523551284,861.0790533973302,535.8155485638947,791.5197035010069,416.8038483506541,740.4370559208944,443.4320369828404,834.994297186209,207.0746237438077,65.14510534380861,183.10925397484004,161.0065844196792,173.97958930094762,255.15625136919493,177.40321355365728,366.42403958225896
labeled-data,LD23AL60_03_re-encode,img11640.png,750.7070020032379,828.2423469662654,677.6400428436767,807.6116761447422,559.0136856199186,798.1559520182107,712.4542998549971,722.9399646480742,542.6810712195461,699.7304599738607,694.4024628861642,868.2142716829665,552.1367953460776,866.4950491145062,476.49100233382603,791.2790617443696,423.1951027115579,751.7369426697836,381.07414978428153,825.6635131135749,161.90537434079863,144.90967148120694,197.17907876265576,187.79142979797442,219.6574198158,231.01900874632872,248.7063528690941,264.56361001025164
labeled-data,LD23AL60_03_re-encode,img12230.png,777.1349394934828,882.3145645034986,705.1869570918418,834.1689221445058,593.7487287103529,782.7775061433337,760.3651090088897,753.0245810900235,583.4704455101185,678.9127495935963,713.8423534709866,906.1169045461468,562.9138791096495,842.283356249954,479.06472668668465,733.0089769632511,432.5419711487815,654.5694472772517,395.7565365374162,718.4029955734444,82.09493607209532,765.5228550104783,120.88405161387749,823.0012716769373,194.2307428201565,858.2641039876485,272.5142305499351,855.4430774027916
labeled-data,LD23AL60_03_re-encode,img12322.png,753.0518495122121,835.8849363249694,707.8411866127952,809.512049633643,614.2802314459462,796.9535321615828,727.3068886944886,732.2771671804724,611.1406020779312,695.8574665114976,721.6555558320615,865.3974523843111,606.7451209627101,864.1416006371051,551.487644085645,779.9995335743014,469.85728051725334,743.5798329053266,521.3472021527003,824.5822706001153,184.15100802788243,574.0398470325131,175.98797167104328,666.972876325759,173.4762681766312,761.161757366211,174.73211992383722,864.7695265107081
labeled-data,LD23AL60_03_re-encode,img17219.png,1436.259043145189,712.8994084305821,1370.3653919436863,642.3816413552896,1268.0568282360898,589.782323290932,1421.8086810395964,586.3142363855898,1272.1029296256556,500.1900782362572,1374.989507817476,722.7256546623852,1229.907872277325,645.2717137764082,1180.7766411183097,552.2113818163909,1138.581583769979,482.8496437095459,1102.744685748109,564.3496859850889,248.2207626538829,53.71746257302192,170.0405984415736,94.84541625817042,118.16750370354845,150.42373204891163,174.4868637048329,210.81883520818377
labeled-data,LD23AL60_03_re-encode,img17890.png,683.6706803254358,806.6688283805631,722.7969580358028,791.1903009347036,806.6389817008751,786.4607508818021,705.5985942070702,713.3677046096878,826.8470591996361,688.0001179623071,704.3087169199151,844.5052288037753,822.9774273381713,852.6744516224232,914.5587147261733,784.7409144989289,1001.4104520612736,728.8462320555474,994.9610656254989,825.1570694964508,72.60340124368813,236.89786067741014,138.50693303466488,202.51340930820487,221.6026905102443,182.81398404459767,264.2250833533217,125.50656509592221
labeled-data,LD23AL60_03_re-encode,img18237.png,822.7261740520383,804.959478915208,758.3738948084654,769.8957370196715,658.1328444482845,744.3198311664565,799.6253558620378,697.293165565384,638.3321431425696,649.44147074324,769.9243039034657,830.5353847684229,649.0575230164984,810.7346834627082,574.3923785095324,725.756673692349,518.2903914766739,673.7798327648477,531.490859013817,753.3951525982425,112.46968393280792,724.6046463626386,155.35144224957543,640.9852176449419,193.94502473466616,568.6222504853968,241.65098086207,514.4840306104779
labeled-data,LD23AL60_03_re-encode,img19010.png,,,,,858.8315770928618,460.72769551872557,,,828.4784062290116,390.5359878960721,,,852.1918209663945,538.0334275625939,813.7760890918341,486.33818343509915,792.4340158281896,455.03647598175365,797.1766987756662,547.0445251627995,436.8901042519496,91.68504255541501,344.06069819400267,84.9201465673865,253.8620850202891,114.98635095862437,184.33398736555154,144.67672779497175
