scorer,,,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,,,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,,,Client_Mouth,Client_Mouth,Client_Spine_head,Client_Spine_head,Client_Spine_mid,Client_Spine_mid,Client_Body_top1,Client_Body_top1,Client_Body_top2,Client_Body_top2,Client_Body_bot1,Client_Body_bot1,Client_Body_bot2,Client_Body_bot2,Client_Tail,Client_Tail,Client_Tail_Top,Client_Tail_Top,Client_Tail_Bot,Client_Tail_Bot,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,LD04AL37_02_re-encode,img01094.png,1226.3595290489072,754.6440097047972,1304.376663534897,750.2175056204858,1377.9672939365755,757.4105747574919,1284.4573951554953,637.341651470543,1396.2266232843604,669.4338060818012,1265.0914397866327,811.0819367797686,1371.3275378101082,818.8283189273137,,,,,,,238.05862103275274,967.977150150021,169.0548260163192,976.864002538501,131.6777703824177,990.717037144073,170.36171607344863,1016.8548382866613
labeled-data,LD04AL37_02_re-encode,img02518.png,1785.6910610615796,549.4027748554847,1678.9559932696716,541.5230047500419,1569.3555545303298,576.6237988561056,1685.4030779013976,448.39844895844425,1534.9711031611246,483.499243064508,1731.2490130603378,605.9938510673018,1572.2209254777636,639.6619596996486,1472.64928505444,604.5611655935849,1382.3901002102762,575.9074561192472,1423.2216362112076,678.3444674900045,97.37302505928463,752.3134750655863,140.7685740286954,816.0506876144085,190.94467752457666,892.8969722477401,235.24430043085016,962.9627023546013
labeled-data,LD04AL37_02_re-encode,img03328.png,1782.4906702019275,645.5583990799935,1688.5954284313652,642.2829836693925,1583.236232723699,666.3026966804666,1690.2331361366655,541.836911077628,1530.8295861540828,584.9632139838747,1738.2725621588138,699.6027533549104,1594.1542840923692,734.5405177346546,1472.418011331698,703.9699739023783,1377.4309644242685,712.7044149973144,1441.3015649309882,760.7438410194627,860.1052201150226,1030.565545947181,784.4061268059106,1022.0251354199992,695.5082172275177,1032.8947488182307,607.3867086061412,1051.5283717866273
labeled-data,LD04AL37_02_re-encode,img03380.png,1626.1271861640457,899.671697226421,1554.4929124782016,841.6232340672022,1474.2131230026864,790.9852130134159,1618.0992072164943,757.0206866968517,1501.3847440559375,691.5617814322009,1568.6962598469465,915.727655121524,1455.0694808969865,831.1251077511733,1403.8139230010806,758.2557603810903,1358.7337335263685,671.1830656422624,1324.7692072098043,736.6419709069132,949.8831538857315,933.193250145081,873.780393943589,949.0708043776144,802.331399897189,975.0771432067638,733.8936661362695,1008.2010063470489
labeled-data,LD04AL37_02_re-encode,img12346.png,1814.6931440648095,863.7491838967593,1755.031674673975,796.1807727794287,1651.5226193452986,719.9866070513752,1826.9129630966672,729.3311745463252,1688.9008893250984,616.4775517226986,1736.3425396840753,863.0303710125324,1601.924530333641,763.8341929892174,1553.0452542062105,655.2934474709524,1532.19968056363,561.1289596372258,1473.2570240570224,610.0082357646563,702.4458186077111,164.27140582164387,615.286304797618,138.63625470102824,547.1269618180988,153.41416534703018,509.42821017013466,195.63676719275003
labeled-data,LD04AL37_02_re-encode,img18674.png,1621.0535244654461,751.1706366840865,1684.588184930053,691.9192117564194,1725.9927951204709,629.0984238813024,1643.897447329125,609.8238639650733,1701.0072544883221,508.45395625749825,1693.1546560039324,734.7515671258174,,,1649.6084280450445,554.1418019848561,1601.778964549217,497.0319948256588,1603.206709728197,543.4337131425066,1615.3425437495262,775.4423047267454,1609.6315630336067,803.283335716854,1603.206709728197,826.127258580533,1613.2009259810566,853.9682895706416
labeled-data,LD04AL37_02_re-encode,img20564.png,239.4790049824415,634.8910182662765,262.51065904612466,564.150937927821,303.0902400154712,521.9262388110685,220.28595992937215,480.79828512592,310.7674580366989,397.99400503982093,267.4460134883425,602.5370280339597,325.0251486475504,555.9253471907914,368.8949659117088,503.2815664738012,424.28061020770883,432.54148613534574,442.3769098291741,511.5071572108309,1626.9095755472147,946.069502822679,1578.5113382007637,939.5597983842675,1526.1506720657144,935.8804002234262,1471.242730280852,928.8046345295006
labeled-data,LD04AL37_02_re-encode,img23505.png,868.763541658348,870.0189580911709,951.1146280274761,845.5221159433922,1064.738278840577,832.4918807584037,916.7148071391061,754.8316790558714,1079.8533516551638,724.0803240192982,939.1268116572866,904.9399883869404,1087.1502833587574,892.9521720167509,1173.1498355796825,815.2919703142186,1268.5311571337993,755.352888463271,1270.6159947633973,822.0676926104127,826.730694798945,179.01176538094933,887.0394177429744,171.8107238353936,966.8509615395503,180.51198236960678,1033.460595835941,200.31484661988503
labeled-data,LD04AL37_02_re-encode,img25575.png,1240.0932073961562,766.443214933788,1139.3837956091272,733.9271716662271,1008.4163991147846,728.5078311216336,1169.6417803164409,649.927393225028,990.3519306328062,639.088712135841,1166.4804983320946,805.2818221700413,1004.8035054183888,798.959258201349,900.4811999349641,732.1207248180292,811.5136926612211,686.9595536130835,816.9330332058146,758.3142041168978,476.38808520933446,485.81004218772114,548.5887343655154,486.07451343005147,620.7893835216963,501.4138454852108,681.0888267730122,547.4318416506887
