scorer,,,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,,,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,,,Client_Mouth,Client_Mouth,Client_Eye_L,Client_Eye_L,Client_Eye_R,Client_Eye_R,Client_FinBase_L,Client_FinBase_L,Client_FinTip_L,Client_FinTip_L,Client_FinBase_R,Client_FinBase_R,Client_FinTip_R,Client_FinTip_R,Client_Spine_1,Client_Spine_1,Client_Spine_2,Client_Spine_2,Client_Tail,Client_Tail,Client_TailTip,Client_TailTip,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,LD04_all,img00343.png,748.9409528197302,123.66815712083243,755.0683066473127,143.7522613334642,769.0250570323619,123.32774857485563,778.8969048656894,158.38982881046698,765.9613801185707,194.13272613803196,796.9385578024603,133.8804135001367,819.7459303829065,122.3065229369252,776.8544535898285,142.05021860358013,826.5541013024426,169.9637193736785,872.5092550093119,206.0470252472203,877.9557917449408,232.59889183341141,533.7347344876662,315.47675025840897,570.8198140822253,314.2707314098054,603.3823229945212,302.2105429237699,635.9448319068172,281.7082224975095
labeled-data,LD04_all,img00826.png,743.9840779728065,142.53408503679015,751.8621043225555,157.7649359796382,762.8913412122041,136.23166395699093,773.3953763452027,175.09659394908607,765.5173499954537,203.9826905648324,793.3530430979004,144.63489206338988,809.6342975540483,125.72762882399223,779.1725956683521,153.56332192643873,818.5627274170971,180.3486115155854,859.003262679142,221.3143485342802,,,820.6635344436968,211.86071691458142,851.650438086043,229.71757664067917,867.931692542191,258.60367325642557,860.5788679490918,307.4474366248694
labeled-data,LD04_all,img01021.png,698.2775015279126,132.25953389357198,689.2372231426142,158.1476038151083,710.6051538715013,152.80562113288653,692.9355188456908,176.63908233049145,669.5129793928722,179.92645628878176,725.8092584285941,165.5441952212616,762.7922154593602,141.29981227887038,699.5102667622714,176.22816058570515,716.3580582985094,224.71692647048752,753.751937074062,272.3838488656973,771.4215720998725,309.3668058964635,206.8893852814334,740.1066013018095,174.1712610338338,753.3630826779921,151.04293182432372,774.7990951160746,133.83771131481012,812.312116882719
labeled-data,LD04_all,img02263.png,496.6619861926848,302.1576337097666,503.7303265009318,271.8053488567059,481.2779514041472,270.9737794086768,512.461805705237,252.2634668280229,544.8930141783705,258.9160224122554,480.86216668013265,251.0161126559793,465.06234716758047,246.44248069181944,487.5147222643651,236.4636473154707,503.31454177691734,183.65898736562522,541.9825211102687,157.46454975270973,575.6610837554458,141.66473024015755,512.8775904292515,187.401049881756,544.4772294543559,167.44338312905847,586.055701855809,161.62239699285504,624.7236811891605,167.027598405044
labeled-data,LD04_all,img02508.png,592.6017496847294,261.5761693096872,601.1119633341497,284.9792568455929,617.7068799505191,267.9588295467524,621.5364760927582,302.4251948269043,607.4946235712148,325.402771680339,638.5569033915988,277.7455752435857,661.1089695625624,270.0863829591075,628.3446470122944,292.2129384476001,680.2569502737579,328.3813464576361,715.5743369188518,361.57117969037495,723.659039885801,399.01611974782406,354.9214394063923,432.76728667287875,369.7972928655788,466.0762628967095,387.9070275115451,498.41507476450636,411.83774829371475,531.0772747509812
labeled-data,LD04_all,img02701.png,398.2788880572461,174.2104319069527,405.6818992097348,190.57498287561202,415.03307119182585,169.92447808182766,434.51467948784887,202.2639478532258,432.56651865824654,224.86261347661247,443.8658514699399,174.9896962387936,457.8926094430764,162.91109909525937,428.67019699904193,188.23718988008926,483.6083323938268,199.14689052586212,541.2738929500548,199.53652269178258,570.1066732281688,187.8475577141688,392.43440556843916,195.64020103257798,401.00631321868934,232.65525679502167,416.5915998555077,256.03318675024923,433.34578299008746,243.954589606715
labeled-data,LD04_all,img02825.png,507.56545671353274,451.2252592613794,513.3524019951384,417.66097662806595,491.36200992503655,422.2905328533506,520.8754308612259,400.3001407832487,538.2362667060432,387.568861163716,491.36200992503655,402.614918895891,470.5290069112558,400.3001407832487,500.62112237560575,399.14275172692754,504.0932895445692,347.06024419247575,486.73245369975194,300.76468193962967,456.640338235402,279.3529843976884,338.58665449064455,506.7799339647946,378.5165769337243,513.7242683027216,416.7104157923223,517.7751299998456,447.3812257848328,517.196435471685
