scorer,,,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,,,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,,,Client_Mouth,Client_Mouth,Client_Spine_head,Client_Spine_head,Client_Spine_mid,Client_Spine_mid,Client_Body_top1,Client_Body_top1,Client_Body_top2,Client_Body_top2,Client_Body_bot1,Client_Body_bot1,Client_Body_bot2,Client_Body_bot2,Client_Tail,Client_Tail,Client_Tail_Top,Client_Tail_Top,Client_Tail_Bot,Client_Tail_Bot,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,LD13AL50_02_re-encode,img00479.png,760.3686684912477,903.0660749342877,715.4119863849593,871.9422180914726,,,772.7194053336348,737.0721717726071,,,745.5477842803834,955.9272286197039,,,,,,,,,1446.554965667782,794.5421264181285,1417.3281820039574,771.9056959334017,1364.0322823816894,756.7192299120027,1300.4210473486596,748.4096541644448
labeled-data,LD13AL50_02_re-encode,img00841.png,712.9636195409034,894.135553541242,824.9699818171423,874.6115087407967,928.241902998445,859.1977891614978,808.0148902799134,745.1362642746858,950.84869171475,741.5397297061827,768.9668006790229,949.1111533740748,949.3073197568201,909.0354824678976,1036.1379400535372,855.0874639403514,1137.3546986242668,820.6634902132505,1100.8755622865929,906.9803198573244,1348.6071630722847,707.75359743257,1396.982529136546,691.9446542743148,,,1320.1510653874252,686.2534347373428
labeled-data,LD13AL50_02_re-encode,img11937.png,841.4382245990757,598.7670891201898,899.6842995477725,590.3537671831557,,,877.6802267893759,447.9744728641191,,,846.6156534834042,665.4264860059205,890.6237990001974,679.6644154378242,,,,,816.8454373985148,673.8398079429546,929.4545156326619,665.4264860059205,995.4667339078518,660.2490571215919,1051.1240944143842,665.4264860059205,1093.1907040995543,669.309557669167
labeled-data,LD13AL50_02_re-encode,img12373.png,,,,,1132.094723590252,819.4021341610111,,,1085.9128483891986,734.9230941590844,,,1124.2100131900722,889.2381405626038,1038.6045859881197,841.9298781615249,949.6199971860904,811.5174237608312,955.2519331862188,885.8589789625269,744.6175267814149,262.96685734832045,822.3382435831874,274.23072934857737,884.2895395846003,288.87376294891135,939.4825123858591,312.52789414945073
labeled-data,LD13AL50_02_re-encode,img15463.png,796.3663618672024,864.6491291261042,913.1945998973117,842.501595850254,1028.9154612636285,858.0048691433492,889.9396899576691,721.797539496871,1052.170371203271,733.9786827985886,856.7183900438938,919.4642739838332,1044.4187345567236,925.554845634692,1172.8744275566542,858.0048691433492,1278.0752106169423,838.6257775269803,1255.927677341092,918.910585651937,,,334.123893251758,731.1271692949979,374.58490714741754,755.0925390639654,410.37734251665495,777.5017159907924
labeled-data,LD13AL50_02_re-encode,img18354.png,1101.9312970965116,912.3145042936565,984.8561924201572,866.6266585662986,813.5267709425653,863.0572956188488,1013.4110959997558,746.6960635319845,786.3996125419467,733.1324843316751,1021.2636944841454,965.8549485054039,810.6712805846055,958.7162226105042,672.8938708130421,851.6353341870094,629.3476428541542,805.2336158701617,629.3476428541542,882.3318555350779,1069.807030569463,618.1989974237906,1141.1942895184595,673.167186814518,1195.448606319697,733.8463569211651,1253.9861586578743,783.8174381854626
labeled-data,LD13AL50_02_re-encode,img19488.png,,,691.6237051860587,787.4570027211246,662.1499067853865,813.0526697532873,689.296826364953,698.259981245406,642.759249942839,726.1825270986744,693.1749577334625,832.4433265958348,652.8423915009637,874.3271453757375,614.0610778158687,845.6289732487671,594.6704209733211,840.9752156065557,575.2797641307736,904.5765700501115,605.5291888051478,491.1677661669986,673.008674617213,529.1734535783918,728.078140050048,581.9160401901211,784.6988580302867,631.5561217070426
labeled-data,LD13AL50_02_re-encode,img19541.png,893.8529781923553,785.0584402233857,827.3813125066287,772.9201360546878,718.7145894725714,790.8385850656227,845.2997615175636,684.4839199684602,693.2819521667282,698.934282074053,852.813949812472,828.9875410243876,721.60466189369,849.2180479722174,627.3883009652254,807.0229906238866,545.8882586896825,802.3988747500969,581.7251567115525,854.9981928144545,602.5336781436059,611.654094956273,579.4130987746576,601.2498342402462,551.0903890476959,591.4235880084432,,
labeled-data,LD13AL50_02_re-encode,img21580.png,880.7936462303312,766.3738997075911,975.4101710324892,684.8985589057329,1068.712577434617,635.619118904609,914.9607246311105,575.8267317032453,1056.2284526343324,500.264923701522,944.5283886317848,787.3997941080708,1077.911406234827,697.3826837060177,,,,,,,,,1145.5885038363704,617.8785205042044,1204.7238318377192,655.9879541050736,1269.1156334391878,686.212677305763
labeled-data,LD13AL50_02_re-encode,img21893.png,1246.87132649847,749.8460942621617,1182.202868391732,720.4513405772807,1103.424928516251,713.984494766607,1220.416048182077,622.860758343476,1092.2549221159961,636.3823450385213,1221.5918383294722,792.7624346420879,1095.7822925581818,768.070841546788,1032.289624598839,716.923970135095,941.1658881757081,692.2323770397951,962.3301108288224,762.7797858835094,1087.5517615264152,807.4598114845284,1050.5143718834652,813.3387622215046,1029.9380443040486,840.9698306852927,1004.0706610613533,869.1887942227784
